CLASE DE ACCIDENTE;GRAVEDAD;VIAS;CORREGIMIENTO;DIA  SEMANA;FECHA DE OCURRECIA;HORA OCURRENCIA
ATROPELLO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;16/02/2021;11:35:00 p. m.
CHOQUE;MUERTOS;VILLARICA-PALMIRA;EL CABUYAL;MIERCOLES;17/02/2021;5:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;17/02/2021;2:10:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;MIERCOLES;17/02/2021;11:10:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;17/02/2021;2:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;VIERNES;19/02/2021;10:10:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;SÁBADO;20/02/2021;N/A
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;SABADO;20/02/2021;5:00:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;21/02/2021;10:10:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;22/02/2021;8:10:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MARTES;23/02/2021;7:20:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;MARTES;23/02/2021;1:25:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;BUCHITOLO;MIERCOLES;24/02/2021;7:50:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;MIERCOLES;24/02/2021;5:25:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;JUANCHITO;JUEVES;25/02/2021;7:00:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;SABADO;27/02/2021;2:40:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;28/02/2021;2:00:00 p. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;28/02/2021;8:35:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MARTES;2/03/2021;2:10:00 p. m.
CHOQUE;HERIDOS;PUERTO TEJADA-PALMIRA;CANDELARIA;MARTES;2/03/2021;4:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;MIERCOLES;3/03/2021;3:45:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;MIERCOLES;3/03/2021;9:56:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;CANDELARIA;DOMINGO;14/03/2021;2:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;SABADO;6/03/2021;10:40:00 a. m.
CHOQUE;MUERTOS;Via interna;CANDELARIA;SABADO;6/03/2021;11:28:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;LUNES;8/03/2021;1:30:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MARTES;9/03/2021;4:10:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;MIERCOLES;10/03/2021;9:09:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;MIERCOLES;10/03/2021;9:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;JUEVES;11/03/2021;7:50:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;SABADO;13/03/2021;8:50:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;DOMINGO;14/03/2021;8:03:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;14/03/2021;10:20:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;LUNES;15/03/2021;7:03:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;17/03/2021;11:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;17/03/2021;7:50:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;17/03/2021;7:55:00 a. m.
ATROPELLO;DAÑOS;CALI-FLORIDA;CANDELARIA;JUEVES;18/03/2021;4:10:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;VIERNES;19/03/2021;12:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;20/03/2021;12:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;SABADO;20/03/2021;8:15:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;SABADO;20/03/2021;4:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;SABADO;20/03/2021;4:05:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;21/03/2021;10:15:00 a. m.
VOLCAMIENTO;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;DOMINGO;21/03/2021;3:52:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;CANDELARIA;DOMINGO;21/03/2021;6:40:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MARTES;23/03/2021;7:30:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;JUEVES;25/03/2021;1:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;VIERNES;26/03/2021;5:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;SABADO;27/03/2021;7:05:00 a. m.
CHOQUE;DAÑOS;CALI-FLORIDA;CANDELARIA;LUNES;29/03/2021;7:23:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;30/03/2021;2:20:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;MIERCOLES;31/03/2021;7:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;31/03/2021;3:30:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;31/03/2021;3:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;VIERNES;2/04/2021;2:20:00 p. m.
CHOQUE;DAÑOS;Via interna;VILLAGORGONA;SABADO;3/04/2021;8:30:00 a. m.
CHOQUE;DAÑOS;Via interna;VILLAGORGONA;SABADO;3/04/2021;8:46:00 p. m.
N/A;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;5/04/2021;6:04:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;5/04/2021;8:45:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;LA REGINA;LUNES;5/04/2021;11:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;7/04/2021;11:00:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;6/04/2021;12:40:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL LAURO;VIERNES;9/04/2021;12:10:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL CABUYAL;SABADO;10/04/2021;2:00:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;CANDELARIA;SABADO;10/04/2021;9:00:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;11/04/2021;9:30:00 a. m.
CHOQUE;HERIDOS;CANDELARIA;EL LAURO;DOMINGO;11/04/2021;4:00:00 p. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;CANDELARIA;DOMINGO;11/04/2021;9:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;11/04/2021;9:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;11/04/2021;9:40:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL ARENAL;LUNES;12/04/2021;1:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL TIPLE;LUNES;12/04/2021;7:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;MARTES;13/04/2021;8:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MARTES;13/04/2021;10:10:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MIERCOLES;14/04/2021;2:00:00 p. m.
ATROPELLO;HERIDOS;VILLARICA-PALMIRA;CANDELARIA;MIERCOLES;14/04/2021;3:20:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;SAN JOAQUIN;JUEVES;15/04/2021;6:50:00 a. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;EL CARMELO;JUEVES;15/04/2021;7:40:00 a. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;JUANCHITO;JUEVES;15/04/2021;9:40:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;SABADO;17/04/2021;1:10:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;EL CABUYAL;DOMINGO;18/04/2021;12:50:00 p. m.
CHOQUE;DAÑOS;CALI-FLORIDA;LA REGINA;LUNES;19/04/2021;9:40:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;LUNES;19/04/2021;2:30:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MARTES;20/04/2021;7:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MARTES;20/04/2021;5:00:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;MIERCOLES;21/04/2021;4:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;22/04/2021;6:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MARTES;27/04/2021;7:10:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;SAN JOAQUIN;VIERNES;23/04/2021;10:20:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;EL CARMELO;DOMINGO;25/04/2021;9:00:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;25/04/2021;5:40:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MARTES;27/04/2021;4:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;27/04/2021;7:15:00 p. m.
CHOQUE;MUERTOS;VILLARICA-PALMIRA;EL CABUYAL;MIERCOLES;12/05/2021;9:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;VIERNES;14/05/2021;2:45:00 p. m.
CHOQUE;MUERTOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;14/05/2021;2:05:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;16/05/2021;10:20:00 p. m.
